"Story","Title","Result","Date","Stability","Duration (s)"
"When deleting a task","Deleted items should dissapear from the list","SUCCESS","2021-08-29T17:28:53.646945239Z[Etc/UTC]","0.0","21.09"
"When completing a task","Active tasks should not show completed tasks","SUCCESS","2021-08-29T17:28:53.667364545Z[Etc/UTC]","0.0","20.42"
"When adding tasks","Adding multiple tasks","SUCCESS","2021-08-29T17:28:53.6779962Z[Etc/UTC]","0.0","20.28"
"When filtering tasks","Should show correctly filtered items","SUCCESS","2021-08-29T17:29:15.181497565Z[Etc/UTC]","0.0","49.83"
"When adding tasks","Adding a single task","SUCCESS","2021-08-29T17:29:15.190512408Z[Etc/UTC]","0.0","4.65"
"When completing a task","Completed tasks should not show active tasks","SUCCESS","2021-08-29T17:29:15.506416085Z[Etc/UTC]","0.0","5.16"
